f_frame_counter_left_camera,MRA2_ORG_CAN_S_Gaze_ROI,MRA2_ORG_MS_S_Gaze_ROI_X_Raw,MRA2_ORG_MS_S_Gaze_ROI_Y_Raw,MRA2_TARGET_NAME,MRA2_CALC_roi_idx_h,MRA2_CALC_roi_name_h,MRA2_CALC_roi_X,MRA2_CALC_roi_Y,CVT_CALC_roi_idx_h,CVT_CALC_roi_name_h,CVT_CALC_roi_X,CVT_CALC_roi_Y
45253.0000,7.0000,64.0000,39.0000, Driver  Mirror ,15.0000,   /Offroad    Driver    Exterior   ,17.0000,49.0000,15.0000,   /Offroad    Driver    Exterior   ,18,48
45254.0000,7.0000,64.0000,39.0000, Driver  Mirror ,15.0000,   /Offroad    Driver    Exterior   ,17.0000,50.0000,15.0000,   /Offroad    Driver    Exterior   ,17,50
45255.0000,7.0000,64.0000,39.0000, Driver  Mirror ,15.0000,   /Offroad    Driver    Exterior   ,16.0000,50.0000,15.0000,   /Offroad    Driver    Exterior   ,18,51
45256.0000,7.0000,50.0000,50.0000, Driver  Mirror ,,,,,15.0000,   /Offroad    Driver    Exterior   ,18,54
45257.0000,7.0000,50.0000,50.0000, Driver  Mirror ,15.0000,   /Offroad    Driver    Exterior   ,8.0000,61.0000,7.0000,   /Driver    Mirror   ,49,71
45258.0000,7.0000,50.0000,50.0000, Driver  Mirror ,15.0000,   /Offroad    Driver    Exterior   ,4.0000,66.0000,7.0000,   /Driver    Mirror   ,93,68
45259.0000,7.0000,50.0000,50.0000, Driver  Mirror ,3.0000,   /Windshield    Driver   ,7.0000,49.0000,15.0000,   /Offroad    Driver    Exterior   ,12,70
45260.0000,7.0000,50.0000,50.0000, Driver  Mirror ,3.0000,   /Windshield    Driver   ,20.0000,40.0000,15.0000,   /Offroad    Driver    Exterior   ,10,76
45261.0000,7.0000,50.0000,50.0000, Driver  Mirror ,3.0000,   /Windshield    Driver   ,27.0000,36.0000,15.0000,   /Offroad    Driver    Exterior   ,7,82
45262.0000,7.0000,50.0000,50.0000, Driver  Mirror ,3.0000,   /Windshield    Driver   ,31.0000,35.0000,13.0000,   /Offroad    Front    Interior   ,1,10
45263.0000,7.0000,50.0000,50.0000, Driver  Mirror ,3.0000,   /Windshield    Driver   ,33.0000,34.0000,13.0000,   /Offroad    Front    Interior   ,4,8
45264.0000,7.0000,50.0000,50.0000, Driver  Mirror ,3.0000,   /Windshield    Driver   ,35.0000,34.0000,13.0000,   /Offroad    Front    Interior   ,6,7
45265.0000,7.0000,50.0000,50.0000, Driver  Mirror ,3.0000,   /Windshield    Driver   ,37.0000,33.0000,1.0000,   /Display    Driver   ,3,9
45266.0000,7.0000,50.0000,50.0000, Driver  Mirror ,3.0000,   /Windshield    Driver   ,38.0000,33.0000,1.0000,   /Display    Driver   ,6,9
45267.0000,7.0000,50.0000,50.0000, Driver  Mirror ,3.0000,   /Windshield    Driver   ,39.0000,32.0000,1.0000,   /Display    Driver   ,10,10
45268.0000,7.0000,50.0000,50.0000, Driver  Mirror ,3.0000,   /Windshield    Driver   ,40.0000,32.0000,1.0000,   /Display    Driver   ,13,8
45269.0000,7.0000,50.0000,50.0000, Driver  Mirror ,3.0000,   /Windshield    Driver   ,40.0000,31.0000,1.0000,   /Display    Driver   ,15,6
45270.0000,7.0000,50.0000,50.0000, Driver  Mirror ,3.0000,   /Windshield    Driver   ,41.0000,31.0000,1.0000,   /Display    Driver   ,18,4
45271.0000,7.0000,50.0000,50.0000, Driver  Mirror ,3.0000,   /Windshield    Driver   ,41.0000,31.0000,1.0000,   /Display    Driver   ,20,4
45272.0000,7.0000,50.0000,50.0000, Driver  Mirror ,3.0000,   /Windshield    Driver   ,41.0000,32.0000,1.0000,   /Display    Driver   ,21,2
45273.0000,3.0000,10.0000,78.0000, Windshield  Driver ,3.0000,   /Windshield    Driver   ,42.0000,32.0000,1.0000,   /Display    Driver   ,22,1
45274.0000,3.0000,10.0000,78.0000, Windshield  Driver ,3.0000,   /Windshield    Driver   ,42.0000,32.0000,13.0000,   /Offroad    Front    Interior   ,17,2
45275.0000,3.0000,10.0000,78.0000, Windshield  Driver ,3.0000,   /Windshield    Driver   ,42.0000,33.0000,13.0000,   /Offroad    Front    Interior   ,17,1
45276.0000,3.0000,10.0000,78.0000, Windshield  Driver ,3.0000,   /Windshield    Driver   ,42.0000,33.0000,13.0000,   /Offroad    Front    Interior   ,18,1
45277.0000,3.0000,10.0000,78.0000, Windshield  Driver ,3.0000,   /Windshield    Driver   ,42.0000,33.0000,13.0000,   /Offroad    Front    Interior   ,18,0
45278.0000,3.0000,10.0000,78.0000, Windshield  Driver ,3.0000,   /Windshield    Driver   ,42.0000,34.0000,13.0000,   /Offroad    Front    Interior   ,17,0
45280.0000,3.0000,10.0000,78.0000, Windshield  Driver ,3.0000,   /Windshield    Driver   ,41.0000,35.0000,3.0000,   /Windshield    Driver   ,29,90
45281.0000,3.0000,10.0000,78.0000, Windshield  Driver ,3.0000,   /Windshield    Driver   ,40.0000,35.0000,3.0000,   /Windshield    Driver   ,30,84
45282.0000,3.0000,10.0000,78.0000, Windshield  Driver ,3.0000,   /Windshield    Driver   ,40.0000,35.0000,3.0000,   /Windshield    Driver   ,30,80
45283.0000,3.0000,10.0000,78.0000, Windshield  Driver ,3.0000,   /Windshield    Driver   ,40.0000,35.0000,3.0000,   /Windshield    Driver   ,31,78
45284.0000,3.0000,10.0000,78.0000, Windshield  Driver ,3.0000,   /Windshield    Driver   ,39.0000,34.0000,3.0000,   /Windshield    Driver   ,30,79
45285.0000,3.0000,10.0000,78.0000, Windshield  Driver ,3.0000,   /Windshield    Driver   ,39.0000,34.0000,3.0000,   /Windshield    Driver   ,31,79
45287.0000,3.0000,31.0000,56.0000, Windshield  Driver ,3.0000,   /Windshield    Driver   ,39.0000,33.0000,3.0000,   /Windshield    Driver   ,30,83
45288.0000,3.0000,37.0000,51.0000, Windshield  Driver ,3.0000,   /Windshield    Driver   ,39.0000,32.0000,3.0000,   /Windshield    Driver   ,31,84
45289.0000,3.0000,40.0000,50.0000, Windshield  Driver ,3.0000,   /Windshield    Driver   ,39.0000,32.0000,3.0000,   /Windshield    Driver   ,31,84
45290.0000,3.0000,41.0000,50.0000, Windshield  Driver ,3.0000,   /Windshield    Driver   ,39.0000,32.0000,3.0000,   /Windshield    Driver   ,32,82
45291.0000,3.0000,42.0000,51.0000, Windshield  Driver ,3.0000,   /Windshield    Driver   ,39.0000,32.0000,3.0000,   /Windshield    Driver   ,31,82
45292.0000,3.0000,43.0000,51.0000, Windshield  Driver ,3.0000,   /Windshield    Driver   ,39.0000,32.0000,3.0000,   /Windshield    Driver   ,32,82
45293.0000,3.0000,43.0000,52.0000, Windshield  Driver ,3.0000,   /Windshield    Driver   ,40.0000,32.0000,3.0000,   /Windshield    Driver   ,32,82
45294.0000,3.0000,43.0000,52.0000, Windshield  Driver ,3.0000,   /Windshield    Driver   ,40.0000,32.0000,3.0000,   /Windshield    Driver   ,32,82
45295.0000,3.0000,43.0000,51.0000, Windshield  Driver ,3.0000,   /Windshield    Driver   ,41.0000,32.0000,3.0000,   /Windshield    Driver   ,32,84
45296.0000,3.0000,43.0000,51.0000, Windshield  Driver ,3.0000,   /Windshield    Driver   ,42.0000,32.0000,3.0000,   /Windshield    Driver   ,32,84
45297.0000,3.0000,44.0000,51.0000, Windshield  Driver ,3.0000,   /Windshield    Driver   ,43.0000,32.0000,3.0000,   /Windshield    Driver   ,34,80
45298.0000,3.0000,44.0000,52.0000, Windshield  Driver ,3.0000,   /Windshield    Driver   ,45.0000,33.0000,3.0000,   /Windshield    Driver   ,38,81
45299.0000,3.0000,44.0000,52.0000, Windshield  Driver ,3.0000,   /Windshield    Driver   ,46.0000,33.0000,3.0000,   /Windshield    Driver   ,44,81
45300.0000,3.0000,44.0000,53.0000, Windshield  Driver ,,,,,3.0000,   /Windshield    Driver   ,53,79
45301.0000,3.0000,50.0000,50.0000, Windshield  Driver ,3.0000,   /Windshield    Driver   ,61.0000,41.0000,3.0000,   /Windshield    Driver   ,64,80
45302.0000,3.0000,44.0000,53.0000, Windshield  Driver ,3.0000,   /Windshield    Driver   ,70.0000,40.0000,3.0000,   /Windshield    Driver   ,80,75
45303.0000,3.0000,44.0000,54.0000, Windshield  Driver ,3.0000,   /Windshield    Driver   ,80.0000,37.0000,3.0000,   /Windshield    Driver   ,96,75
45304.0000,3.0000,44.0000,54.0000, Windshield  Driver ,3.0000,   /Windshield    Driver   ,94.0000,33.0000,5.0000,   /Windshield    Passenger   ,19,72
45306.0000,3.0000,50.0000,50.0000, Windshield  Driver ,5.0000,   /Windshield    Passenger   ,29.0000,32.0000,5.0000,   /Windshield    Passenger   ,50,53
45307.0000,3.0000,50.0000,50.0000, Windshield  Driver ,5.0000,   /Windshield    Passenger   ,60.0000,34.0000,5.0000,   /Windshield    Passenger   ,71,51
45308.0000,3.0000,50.0000,50.0000, Windshield  Driver ,5.0000,   /Windshield    Passenger   ,95.0000,39.0000,5.0000,   /Windshield    Passenger   ,92,48
45309.0000,3.0000,50.0000,50.0000, Windshield  Driver ,17.0000,   /Offroad    Passenger    Exterior   ,4.0000,61.0000,17.0000,   /Offroad    Passenger    Exterior   ,4,63
45310.0000,3.0000,50.0000,50.0000, Windshield  Driver ,17.0000,   /Offroad    Passenger    Exterior   ,6.0000,60.0000,17.0000,   /Offroad    Passenger    Exterior   ,6,60
45311.0000,3.0000,50.0000,50.0000, Windshield  Driver ,17.0000,   /Offroad    Passenger    Exterior   ,8.0000,60.0000,17.0000,   /Offroad    Passenger    Exterior   ,7,58
45312.0000,3.0000,50.0000,50.0000, Windshield  Driver ,17.0000,   /Offroad    Passenger    Exterior   ,10.0000,59.0000,17.0000,   /Offroad    Passenger    Exterior   ,9,57
45313.0000,3.0000,50.0000,50.0000, Windshield  Driver ,17.0000,   /Offroad    Passenger    Exterior   ,12.0000,58.0000,17.0000,   /Offroad    Passenger    Exterior   ,10,55
45314.0000,3.0000,50.0000,50.0000, Windshield  Driver ,17.0000,   /Offroad    Passenger    Exterior   ,13.0000,57.0000,17.0000,   /Offroad    Passenger    Exterior   ,12,54
45315.0000,3.0000,50.0000,50.0000, Windshield  Driver ,17.0000,   /Offroad    Passenger    Exterior   ,14.0000,56.0000,17.0000,   /Offroad    Passenger    Exterior   ,13,54
45316.0000,3.0000,50.0000,50.0000, Windshield  Driver ,17.0000,   /Offroad    Passenger    Exterior   ,16.0000,55.0000,17.0000,   /Offroad    Passenger    Exterior   ,14,53
45317.0000,3.0000,50.0000,50.0000, Windshield  Driver ,17.0000,   /Offroad    Passenger    Exterior   ,17.0000,54.0000,17.0000,   /Offroad    Passenger    Exterior   ,14,53
45318.0000,3.0000,50.0000,50.0000, Windshield  Driver ,17.0000,   /Offroad    Passenger    Exterior   ,19.0000,53.0000,17.0000,   /Offroad    Passenger    Exterior   ,15,52
45319.0000,3.0000,50.0000,50.0000, Windshield  Driver ,17.0000,   /Offroad    Passenger    Exterior   ,20.0000,52.0000,17.0000,   /Offroad    Passenger    Exterior   ,15,52
45320.0000,3.0000,50.0000,50.0000, Windshield  Driver ,17.0000,   /Offroad    Passenger    Exterior   ,21.0000,51.0000,17.0000,   /Offroad    Passenger    Exterior   ,16,51
45321.0000,3.0000,50.0000,50.0000, Windshield  Driver ,17.0000,   /Offroad    Passenger    Exterior   ,21.0000,50.0000,17.0000,   /Offroad    Passenger    Exterior   ,16,51
45322.0000,3.0000,50.0000,50.0000, Windshield  Driver ,17.0000,   /Offroad    Passenger    Exterior   ,21.0000,50.0000,17.0000,   /Offroad    Passenger    Exterior   ,17,51
45323.0000,3.0000,50.0000,50.0000, Windshield  Driver ,17.0000,   /Offroad    Passenger    Exterior   ,21.0000,50.0000,17.0000,   /Offroad    Passenger    Exterior   ,18,51
45324.0000,8.0000,10.0000,28.0000, Passenger  Mirror ,17.0000,   /Offroad    Passenger    Exterior   ,21.0000,50.0000,17.0000,   /Offroad    Passenger    Exterior   ,19,51
45325.0000,8.0000,10.0000,28.0000, Passenger  Mirror ,17.0000,   /Offroad    Passenger    Exterior   ,21.0000,50.0000,17.0000,   /Offroad    Passenger    Exterior   ,19,52
45326.0000,8.0000,10.0000,28.0000, Passenger  Mirror ,17.0000,   /Offroad    Passenger    Exterior   ,20.0000,51.0000,17.0000,   /Offroad    Passenger    Exterior   ,19,52
45327.0000,8.0000,10.0000,28.0000, Passenger  Mirror ,17.0000,   /Offroad    Passenger    Exterior   ,20.0000,51.0000,17.0000,   /Offroad    Passenger    Exterior   ,19,53
45328.0000,8.0000,10.0000,28.0000, Passenger  Mirror ,17.0000,   /Offroad    Passenger    Exterior   ,20.0000,52.0000,17.0000,   /Offroad    Passenger    Exterior   ,19,54
45329.0000,8.0000,10.0000,28.0000, Passenger  Mirror ,17.0000,   /Offroad    Passenger    Exterior   ,19.0000,53.0000,17.0000,   /Offroad    Passenger    Exterior   ,17,56
45330.0000,8.0000,50.0000,50.0000, Passenger  Mirror ,17.0000,   /Offroad    Passenger    Exterior   ,18.0000,55.0000,17.0000,   /Offroad    Passenger    Exterior   ,17,60
45331.0000,8.0000,50.0000,50.0000, Passenger  Mirror ,17.0000,   /Offroad    Passenger    Exterior   ,17.0000,57.0000,17.0000,   /Offroad    Passenger    Exterior   ,18,66
45332.0000,8.0000,10.0000,28.0000, Passenger  Mirror ,17.0000,   /Offroad    Passenger    Exterior   ,16.0000,58.0000,16.0000,   /Offroad    Passenger    Interior   ,20,7
45333.0000,8.0000,10.0000,28.0000, Passenger  Mirror ,,,,,16.0000,   /Offroad    Passenger    Interior   ,13,14
45334.0000,8.0000,50.0000,50.0000, Passenger  Mirror ,,,,,16.0000,   /Offroad    Passenger    Interior   ,1,22
45335.0000,8.0000,50.0000,50.0000, Passenger  Mirror ,5.0000,   /Windshield    Passenger   ,79.0000,75.0000,13.0000,   /Offroad    Front    Interior   ,81,22
45336.0000,8.0000,50.0000,50.0000, Passenger  Mirror ,5.0000,   /Windshield    Passenger   ,33.0000,60.0000,13.0000,   /Offroad    Front    Interior   ,64,14
45337.0000,8.0000,50.0000,50.0000, Passenger  Mirror ,3.0000,   /Windshield    Driver   ,99.0000,50.0000,13.0000,   /Offroad    Front    Interior   ,51,10
45338.0000,8.0000,50.0000,50.0000, Passenger  Mirror ,3.0000,   /Windshield    Driver   ,79.0000,41.0000,1.0000,   /Display    Driver   ,95,9
45339.0000,8.0000,50.0000,50.0000, Passenger  Mirror ,3.0000,   /Windshield    Driver   ,68.0000,36.0000,1.0000,   /Display    Driver   ,81,5
