f_frame_counter_left_camera,CAN_S_Gaze_ROI,MS_S_Gaze_ROI_X_Raw,MS_S_Gaze_ROI_Y_Raw,MS_S_Head_rot_X,MS_S_Head_rot_Y,MS_S_Head_rot_Z,HSVL_MS_S_Head_Pos_Veh_X,HSVL_MS_S_Head_Pos_Veh_Y,HSVL_MS_S_Head_Pos_Veh_Z,MS_S_Gaze_LE_Center_X,MS_S_Gaze_LE_Center_Y,MS_S_Gaze_LE_Center_Z,MS_S_Gaze_LE_VA_rot_X,MS_S_Gaze_LE_VA_rot_Y,MS_S_Gaze_LE_VA_rot_Z,MS_S_Gaze_RE_Center_X,MS_S_Gaze_RE_Center_Y,MS_S_Gaze_RE_Center_Z,MS_S_Gaze_RE_VA_rot_X,MS_S_Gaze_RE_VA_rot_Y,MS_S_Gaze_RE_VA_rot_Z,MS_S_Gaze_rot_X,MS_S_Gaze_rot_Y,MS_S_Gaze_rot_Z,headDir_X_L,headDir_Y_L,headDir_Z_L,headDir_X_R,headDir_Y_R,headDir_Z_R,headDir_X_mid,headDir_Y_mid,headDir_Z_mid,Rot_headDir_X_mid,Rot_headDir_Y_mid,Rot_headDir_Z_mid,roi_idx_h,roi_name_h,roi_X,roi_Y,intersect_x_h,intersect_y_h,intersect_z_h
45253.0000,7.0000,64.0000,39.0000,0.2000,-5.2000,20.3000,1503.0000,-457.0000,858.0000,1512.0000,-488.0000,861.0000,0.0000,-14.5000,43.8000,1485.0000,-434.0000,860.0000,0.0000,-14.5000,43.8000,0.0000,-14.4965,43.8291,0.4299,0.8910,0.1461,0.4299,0.8910,0.1461,0.4295,0.8912,0.1461,0.0000,-8.3986,64.2708,15, /Offroad  Driver  Exterior ,17,49,1337.7096,-800.0000,801.7850
45254.0000,7.0000,64.0000,39.0000,0.2000,-5.0000,19.3000,1502.0000,-456.0000,858.0000,1512.0000,-488.0000,861.0000,0.0000,-14.5000,43.8000,1485.0000,-434.0000,860.0000,0.0000,-14.5000,43.8000,0.0000,-14.4965,43.8291,0.4448,0.8828,0.1510,0.4448,0.8828,0.1510,0.4444,0.8830,0.1510,0.0000,-8.6833,63.2846,15, /Offroad  Driver  Exterior ,17,50,1328.8702,-800.0000,799.1846
45255.0000,7.0000,64.0000,39.0000,0.1000,-5.2000,17.8000,1502.0000,-454.0000,858.0000,1512.0000,-488.0000,861.0000,0.0000,-14.5000,43.8000,1485.0000,-434.0000,860.0000,0.0000,-14.5000,43.8000,0.0000,-14.4965,43.8291,0.4682,0.8708,0.1497,0.4682,0.8708,0.1497,0.4678,0.8711,0.1496,0.0000,-8.6043,61.7620,15, /Offroad  Driver  Exterior ,16,50,1316.1808,-800.0000,798.5734
45257.0000,7.0000,50.0000,50.0000,-0.3000,-6.0000,15.2000,1500.0000,-449.0000,859.0000,1507.0000,-474.0000,863.0000,0.0000,-14.6000,23.8000,1490.0000,-416.0000,864.0000,0.0000,-14.6000,23.8000,0.0000,-14.5565,23.7802,0.7686,0.6240,0.1408,0.7686,0.6240,0.1408,0.7690,0.6238,0.1400,0.0000,-8.0502,39.0490,15, /Offroad  Driver  Exterior ,8,61,1067.3090,-800.0000,780.1989
45258.0000,7.0000,50.0000,50.0000,-0.4000,-6.1000,14.4000,1498.0000,-446.0000,859.0000,1507.0000,-473.0000,864.0000,0.0000,-13.4000,19.4000,1490.0000,-414.0000,864.0000,0.0000,-13.4000,19.4000,0.0000,-13.4137,19.4209,0.8248,0.5526,0.1198,0.8248,0.5526,0.1198,0.8245,0.5529,0.1201,0.0000,-6.8952,33.8442,15, /Offroad  Driver  Exterior ,4,66,970.0824,-800.0000,782.1351
45259.0000,7.0000,50.0000,50.0000,-0.7000,-6.4000,13.6000,1496.0000,-443.0000,859.0000,1506.0000,-471.0000,864.0000,0.0000,-11.7000,13.6000,1490.0000,-411.0000,864.0000,0.0000,-11.7000,13.6000,0.0000,-11.6660,13.6340,0.8863,0.4548,0.0867,0.8863,0.4548,0.0867,0.8861,0.4554,0.0861,0.0000,-4.9419,27.1990,3, /Windshield  Driver ,7,49,941.3848,-728.0216,805.0825
45260.0000,7.0000,50.0000,50.0000,-0.9000,-6.7000,12.7000,1496.0000,-440.0000,859.0000,1505.0000,-469.0000,864.0000,0.0000,-9.6000,6.9000,1491.0000,-409.0000,864.0000,0.0000,-9.6000,6.9000,0.0000,-9.5677,6.9023,0.9415,0.3339,0.0465,0.9415,0.3339,0.0465,0.9415,0.3339,0.0460,0.0000,-2.6360,19.5277,3, /Windshield  Driver ,20,40,989.9787,-619.4669,834.2808
45261.0000,7.0000,50.0000,50.0000,-1.0000,-7.0000,11.5000,1496.0000,-438.0000,860.0000,1504.0000,-467.0000,864.0000,0.0000,-8.3000,2.2000,1492.0000,-407.0000,864.0000,0.0000,-8.3000,2.2000,0.0000,-8.2985,2.2360,0.9717,0.2354,0.0198,0.9717,0.2354,0.0198,0.9716,0.2360,0.0198,0.0000,-1.1337,13.6514,3, /Windshield  Driver ,27,36,1016.5321,-554.4510,850.2358
45262.0000,7.0000,50.0000,50.0000,-1.0000,-7.2000,10.2000,1496.0000,-436.0000,859.0000,1504.0000,-465.0000,863.0000,0.0000,-8.1000,0.0000,1492.0000,-405.0000,864.0000,0.0000,-8.1000,0.0000,0.0000,-8.0758,-0.0149,0.9844,0.1757,0.0135,0.9844,0.1757,0.0135,0.9844,0.1754,0.0131,0.0000,-0.7495,10.1047,3, /Windshield  Driver ,31,35,1020.6041,-520.7212,852.6825
45263.0000,7.0000,50.0000,50.0000,-0.9000,-7.6000,8.8000,1496.0000,-434.0000,859.0000,1503.0000,-464.0000,863.0000,0.0000,-8.2000,-1.3000,1493.0000,-404.0000,864.0000,0.0000,-8.2000,-1.3000,0.0000,-8.2417,-1.2572,0.9916,0.1292,0.0088,0.9916,0.1292,0.0088,0.9915,0.1299,0.0095,0.0000,-0.5458,7.4653,3, /Windshield  Driver ,33,34,1023.5635,-495.9063,854.4607
